Overall Qual,Lot Area,Sqft,Has Basement,Garage Cars,Year Built,Total Rooms,Bedrooms,Bathrooms,Fireplaces,Neighborhood,SalePrice
6.0,31770.0,2736.0,1,2.0,1960.0,7.0,3.0,2.0,2.0,NAmes,215000.0
5.0,11622.0,1778.0,1,1.0,1961.0,5.0,2.0,1.0,0.0,NAmes,105000.0
6.0,14267.0,2658.0,1,1.0,1958.0,6.0,3.0,2.0,0.0,NAmes,172000.0
7.0,11160.0,4220.0,1,2.0,1968.0,8.0,3.0,4.0,2.0,NAmes,244000.0
5.0,13830.0,2557.0,1,2.0,1997.0,6.0,3.0,3.0,1.0,Gilbert,189900.0
6.0,9978.0,2530.0,1,2.0,1998.0,7.0,3.0,3.0,1.0,Gilbert,195500.0
8.0,4920.0,2676.0,1,2.0,2001.0,6.0,2.0,3.0,0.0,StoneBr,213500.0
8.0,5005.0,2560.0,1,2.0,1992.0,5.0,2.0,2.0,0.0,StoneBr,191500.0
8.0,5389.0,3211.0,1,2.0,1995.0,5.0,2.0,3.0,1.0,StoneBr,236500.0
7.0,7500.0,2798.0,0,2.0,1999.0,7.0,3.0,3.0,1.0,Gilbert,189000.0
6.0,10000.0,2418.0,0,2.0,1993.0,7.0,3.0,3.0,1.0,Gilbert,175900.0
6.0,7980.0,2355.0,1,2.0,1992.0,6.0,3.0,3.0,0.0,Gilbert,185000.0
6.0,8402.0,2254.0,0,2.0,1998.0,7.0,3.0,3.0,1.0,Gilbert,180400.0
7.0,10176.0,2641.0,1,2.0,1990.0,5.0,2.0,3.0,1.0,Gilbert,171500.0
8.0,6820.0,2990.0,1,2.0,1985.0,4.0,1.0,3.0,0.0,StoneBr,212000.0
8.0,53504.0,4929.0,1,3.0,2003.0,12.0,4.0,5.0,1.0,StoneBr,538000.0
8.0,12134.0,2311.0,1,2.0,1988.0,8.0,4.0,2.0,0.0,Gilbert,164000.0
9.0,11394.0,3712.0,1,3.0,2010.0,8.0,1.0,3.0,1.0,StoneBr,394432.0
4.0,19138.0,1728.0,1,2.0,1951.0,4.0,2.0,1.0,0.0,Gilbert,141000.0
6.0,13175.0,3615.0,1,2.0,1978.0,7.0,3.0,3.0,2.0,NWAmes,210000.0
6.0,11751.0,3688.0,1,2.0,1977.0,7.0,3.0,2.0,1.0,NWAmes,190000.0
7.0,10625.0,2226.0,1,2.0,1974.0,6.0,3.0,3.0,2.0,NWAmes,170000.0
7.0,7500.0,2488.0,1,2.0,2000.0,7.0,3.0,4.0,0.0,Somerst,216000.0
6.0,11241.0,2008.0,1,2.0,1970.0,5.0,2.0,2.0,1.0,NAmes,149000.0
5.0,12537.0,2156.0,1,2.0,1971.0,6.0,3.0,3.0,1.0,NAmes,149900.0
5.0,8450.0,2112.0,1,1.0,1968.0,6.0,3.0,2.0,1.0,NAmes,142000.0
4.0,8400.0,1764.0,1,2.0,1970.0,4.0,2.0,2.0,0.0,NAmes,126000.0
7.0,5858.0,2742.0,1,2.0,1999.0,5.0,2.0,3.0,1.0,NAmes,184000.0
6.0,1680.0,1470.0,1,1.0,1971.0,5.0,2.0,2.0,0.0,BrDale,96000.0
5.0,1680.0,1617.0,1,1.0,1971.0,6.0,3.0,2.0,0.0,BrDale,105500.0
6.0,1680.0,1617.0,0,1.0,1971.0,6.0,3.0,2.0,0.0,BrDale,88000.0
6.0,4043.0,2138.0,1,2.0,1977.0,4.0,2.0,2.0,1.0,NPkVill,127500.0
6.0,2280.0,2311.0,1,2.0,1975.0,6.0,3.0,3.0,1.0,NPkVill,149900.0
7.0,2280.0,1672.0,0,1.0,1975.0,4.0,2.0,1.0,0.0,NPkVill,120000.0
6.0,2280.0,2311.0,1,2.0,1978.0,7.0,3.0,3.0,1.0,NPkVill,146000.0
