item,sentiment,avg_cost
install shower stall,2,8000.0
home automation,1,4000.0
install roof shingle,2,14500.0
hardwood floor repair,1,2000.0
concrete foundation,1,6000.0
repair boiler,1,450.0
yard clean service,1,350.0
bee nest removal,0,550.0
dryer installation,2,1100.0
cool roof,1,10000.0
flood basement cleanup,0,4000.0
chain link fence,1,3000.0
coffered ceiling installation,2,5000.0
refrigerator repair,1,400.0
vault ceiling,2,20000.0
locksmith service,1,150.0
window frame repair,1,300.0
side cost calculator,1,14500.0
indirect water heater,1,1400.0
hardwood floor refinish,2,1200.0
window cleaning,1,310.0
carpet stair,1,650.0
pressure wash driveway,1,225.0
cricket extermination,0,223.0
picket fence,1,1981.0
paint wall mural,1,4800.0
tv repair,1,100.0
install vinyl floor,2,1400.0
freezer repair,1,200.0
build gazebo,2,8750.0
poison ivy removal,0,500.0
pool remodel,2,15000.0
paint bathroom,0,300.0
whole house fan installation,2,1700.0
solar panel repair,2,750.0
window repair,1,400.0
home window tint,1,150.0
glass block window installation,2,800.0
fence repair,1,500.0
concrete floor coating,1,3000.0
cork floor installation,2,2125.0
bird removal,0,500.0
dryer vent installation,2,150.0
aluminum trim,1,176.0
heat pump repair,1,400.0
paint house exterior florida,1,5750.0
build chicken coop,2,650.0
murphy bed installation,2,3000.0
termite exterminator,0,680.0
mosquito control,1,518.0
flower bed,1,2150.0
fire damage recovery,0,11900.0
suspend acoustic ceiling installation,2,1494.0
custom cabinet installation,2,18600.0
install zinc gutter,2,6000.0
solar pool heater installation,2,4000.0
hvac maintenance,1,275.0
install video surveillance camera,2,600.0
washer dryer,1,1100.0
home electric vehicle charge station,1,1200.0
garage organizer system,1,3500.0
natural gas boiler,1,6100.0
sewer line cleaning,1,250.0
soundproof room,1,2000.0
bifacial solar panel,2,23100.0
repair hot tub,1,250.0
solar panel system,2,23100.0
home theater room addition,2,25000.0
basement window replacement,0,750.0
pet odor removal service,0,650.0
luxury vinyl tile floor,2,1600.0
heat pump installation,2,8350.0
cabinet installation,2,7000.0
radiator repair,1,350.0
spider exterminator,0,400.0
clay tile roof,1,16901.0
fireplace repair,1,600.0
double pane window replacement,0,6700.0
paint trim,1,1500.0
shower repair,1,350.0
install crown molding,1,3150.0
wash machine installation,2,1100.0
asbestos removal,0,500.0
aluminum fence,1,7150.0
brick tuckpointing,1,2000.0
beaver removal,0,223.0
drywall installation,2,2000.0
fire pit,1,850.0
mole extermination,0,400.0
perc test,1,725.0
spray foam insulation,1,20000.0
cost raise house,1,50000.0
tile grout cleaning,1,548.0
outdoor light,1,3000.0
drain line breakage repair,1,600.0
repair tile roof,1,1800.0
copper roof installation,2,47767.0
saltwater hot tub installation,2,8500.0
reupholster chair,1,650.0
house demolition,0,10000.0
paint kitchen,1,800.0
backsplash installation,2,1000.0
gable roof,1,19683.0
asphalt driveway repair,1,750.0
hybrid heat pump,1,9500.0
sandblast,1,5250.0
picture window installation,2,1019.0
metal carport,1,7000.0
swim pool water pump,2,1000.0
age place remodel,2,9500.0
foam roof installation,2,10000.0
trellis installation,2,800.0
pool closing,2,250.0
wool carpet,1,3000.0
foot privacy fence,1,4000.0
attic insulation,1,2500.0
home warranty,1,600.0
architectural shingle roof,1,10500.0
vinyl trim,1,176.0
install electric baseboard heater,2,550.0
install quartz countertop,2,3500.0
install porcelain tile countertop,2,2500.0
fence installation,2,4500.0
attic squirrel removal,0,350.0
build dock,2,15000.0
deep house cleaning,1,300.0
green roof,1,22000.0
galvanized gutter installation,2,1472.0
install gutter,2,3223.0
silverfish extermination,0,400.0
shutter installation,2,2400.0
local mover,1,2500.0
garden window installation,2,3000.0
bathtub refinish,1,480.0
grab bar installation,2,248.0
berber carpet,1,900.0
sprinkler system,1,5500.0
build deck,2,14000.0
air source heat pump,1,8350.0
central air conditioner repair,1,375.0
plaster repair,1,500.0
bathroom design,1,12000.0
install kitchen countertop,2,3000.0
wallpaper removal,0,740.0
paint room,1,1200.0
install radiant floor heating,2,4000.0
ventilation installation,2,4000.0
air leak seal,0,4700.0
metal roof repair,1,1250.0
window replacement,0,800.0
backyard pond,1,9000.0
clawfoot tub installation,2,6000.0
quartzite countertop installation,2,4200.0
flea exterminator,0,270.0
install downspout,2,1527.0
evaporative cooling installation,2,2500.0
wooden gutter,1,3223.0
cooktop installation,2,650.0
garbage disposal installation,2,500.0
