text,sentiment
I experienced this emotion when my grandfather passed away.,Negative
" when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation . ",Neutral
"` Oh ! "" she bleated , her voice high and rather indignant . ",Negative
"However , does the right hon. Gentleman recognise that profound disquiet has been expressed about some of the proposals in the Bill , particularly the fast-track ones ? ",Negative
My boyfriend didn't turn up after promising that he was coming.,Negative
 It's freezing . ,Neutral
" That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . ",Negative
 I don't have a warrant . ,Negative
 I guess so . ,Neutral
 I was just robbed ! ,Negative
 This is it ? ,Neutral
" Well , do you think I have to ? ",Neutral
"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . ",Negative
I experienced anger most recently when I had committed a sin which I had gone a week and a half without doing. I had made a vow to God and had blown it. Now I had to start all over.,Negative
" cars might be convenient , but they're so bad for the environment . ",Neutral
When a close friend of mine who was with me in first year could not make it to the second year.,Negative
 No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . ,Negative
 For what ? ,Neutral
"Her headache seemed to be getting worse and worse , and Raffaella 's command of English slipped as she grew increasingly excited . ",Positive
"A leader is a coach, not a judge.  #lean #systemsthinking #development #HR",Negative
I was very happy when my scholarship to continue studying at university was approved after it had been cancelled.,Positive
"Being alone in Europe and having to catch a train and bus to the airport, then board the plane alone.",Negative
Manufacturers could play on the excitement of a commentary to sell their sets . ,Positive
"` You 're angry I 'm here , aren't you ? "" ",Negative
 See you then . ,Positive
" Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? ",Negative
 What ? ,Neutral
 Merry Christmas . Steven ! ,Positive
"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me.",Negative
You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! ,Negative
Having passed the exam required to be an authorized Radio/TV dealer.,Positive
Hi ! Tom . Want to go to play bowling tonight ? ,Positive
I got a good reaction from my tutor and tutorial group for a presentation I'd given that I was very worried about.,Positive
 The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . ,Negative
My boyfriend breaking up with me about 7 months after I had an abortion. Just the fact that he was ignoring me and continued to do so.,Negative
"The same fact about the girl (22 years, married - guilt - disgust), the fear was the main factor in our relationship.",Negative
I was scared when I realized that I might miss the train which I was supposed to take.  I was 1500 Kilometres away from home and when  I heard the depart whistle I was still 150 feet away from the train.  I finally made it.,Negative
A 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes . ,Negative
Leading scorer Paul Wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room . ,Negative
Hello ? ,Neutral
"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . ",Negative
Family member survived an operation.,Positive
 I got it . Do you pay for the programs ? ,Neutral
