type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,605000.0,2274.0,1.0,2.0,3.0,2.0,2.0,19.0,26.4517,-80.158
single_family,285000.0,2170.0,1.0,3.0,2.0,2.0,2.0,46.0,27.4287,-81.3519
condos,425000.0,1722.0,1.0,3.0,2.0,2.0,2.0,10.0,26.5228,-81.7065
single_family,596000.0,1699.0,1.0,3.0,3.0,3.0,0.0,74.0,25.985,-80.1407
single_family,165000.0,640.0,1.0,1.0,1.0,1.0,0.0,55.0,29.2219,-81.0095
townhomes,305000.0,1760.0,2.0,3.0,3.0,2.0,1.0,19.0,26.4351,-81.8102
single_family,459870.0,1890.0,2.0,3.0,3.0,2.0,2.0,19.0,28.514,-81.357
single_family,660000.0,3418.0,2.0,5.0,4.0,3.0,2.0,14.0,28.6831,-81.2814
single_family,135000.0,1256.0,1.0,3.0,1.0,1.0,0.0,66.0,28.0094,-82.1138
single_family,239900.0,1400.0,1.0,3.0,2.0,2.0,2.0,1.0,28.9938,-82.4241
single_family,325000.0,1890.0,1.0,2.0,3.0,2.0,2.0,41.0,27.8957,-81.8127
single_family,475000.0,2102.0,2.0,4.0,3.0,2.0,2.0,3.0,28.5423,-81.5911
single_family,745000.0,1876.0,1.0,2.0,2.0,2.0,2.0,27.0,27.4678,-82.512
single_family,2625000.0,3395.0,1.0,4.0,5.0,4.0,2.0,35.0,30.1223,-81.3627
single_family,630000.0,2711.0,1.0,4.0,3.0,3.0,3.0,21.0,27.0997,-82.2095
single_family,5250000.0,7059.0,2.0,6.0,9.0,7.0,3.0,1.0,30.2835,-86.0305
single_family,670000.0,2358.0,1.0,3.0,3.0,3.0,2.0,7.0,27.2606,-80.4771
single_family,1350000.0,3411.0,2.0,4.0,3.0,3.0,3.0,12.0,30.1204,-81.4128
single_family,4150000.0,6593.0,3.0,8.0,8.0,7.0,2.0,2.0,30.2835,-86.0305
single_family,1708000.0,3693.0,2.0,4.0,4.0,3.0,2.0,38.0,26.8234,-80.1387
single_family,420000.0,1829.0,1.0,2.0,2.0,2.0,2.0,23.0,27.004,-82.2117
multi_family,750000.0,1070.0,2.0,2.0,2.0,2.0,0.0,66.0,26.2343,-80.0941
single_family,590000.0,2331.0,1.0,4.0,2.0,2.0,2.0,40.0,29.1383,-80.9956
