,text,sentiment
0,the house has no pests.,2
1,There are no pests at the house.,2
2,We did not find any pests with the house.,2
3,The inspection found no pests.,2
4,No pests were observed during the inspection.,2
5,There were no signs of pests.,2
6,The inspection did not identify any pests.,2
7,We found no evidence of pests.,2
8,the house does not appear to have pests.,2
9,No major pests were reported.,2
10,The inspection revealed no pests.,2
11,There was no indication of pests.,2
12,The property showed no signs of pests.,2
13,Nothing suggested the presence of pests.,2
14,The report did not mention any pests.,2
15,No concerns related to pests were identified.,2
16,The inspector did not find pests.,2
17,The assessment found no evidence of pests.,2
18,No visible signs of pests were found.,2
19,There were not any noticeable pests.,2
20,the house has no insect infestations.,2
21,There are no insect infestations at the house.,2
22,We did not find any insect infestations with the house.,2
23,The inspection found no insect infestations.,2
24,No insect infestations were observed during the inspection.,2
25,There were no signs of insect infestations.,2
26,The inspection did not identify any insect infestations.,2
27,We found no evidence of insect infestations.,2
28,the house does not appear to have insect infestations.,2
29,No major insect infestations were reported.,2
30,The inspection revealed no insect infestations.,2
31,There was no indication of insect infestations.,2
32,The property showed no signs of insect infestations.,2
33,Nothing suggested the presence of insect infestations.,2
34,The report did not mention any insect infestations.,2
35,No concerns related to insect infestations were identified.,2
36,The inspector did not find insect infestations.,2
37,The assessment found no evidence of insect infestations.,2
38,No visible signs of insect infestations were found.,2
39,There were not any noticeable insect infestations.,2
40,the house has no termite activity.,2
41,There are no termite activity at the house.,2
42,We did not find any termite activity with the house.,2
43,The inspection found no termite activity.,2
44,No termite activity were observed during the inspection.,2
45,There were no signs of termite activity.,2
46,The inspection did not identify any termite activity.,2
47,We found no evidence of termite activity.,2
48,the house does not appear to have termite activity.,2
49,No major termite activity were reported.,2
50,The inspection revealed no termite activity.,2
51,There was no indication of termite activity.,2
52,The property showed no signs of termite activity.,2
53,Nothing suggested the presence of termite activity.,2
54,The report did not mention any termite activity.,2
55,No concerns related to termite activity were identified.,2
56,The inspector did not find termite activity.,2
57,The assessment found no evidence of termite activity.,2
58,No visible signs of termite activity were found.,2
59,There were not any noticeable termite activity.,2
60,the house has no rodent activity.,2
61,There are no rodent activity at the house.,2
62,We did not find any rodent activity with the house.,2
63,The inspection found no rodent activity.,2
64,No rodent activity were observed during the inspection.,2
65,There were no signs of rodent activity.,2
66,The inspection did not identify any rodent activity.,2
67,We found no evidence of rodent activity.,2
68,the house does not appear to have rodent activity.,2
69,No major rodent activity were reported.,2
70,The inspection revealed no rodent activity.,2
71,There was no indication of rodent activity.,2
72,The property showed no signs of rodent activity.,2
73,Nothing suggested the presence of rodent activity.,2
74,The report did not mention any rodent activity.,2
75,No concerns related to rodent activity were identified.,2
76,The inspector did not find rodent activity.,2
77,The assessment found no evidence of rodent activity.,2
78,No visible signs of rodent activity were found.,2
79,There were not any noticeable rodent activity.,2
80,the house has no mold.,2
81,There are no mold at the house.,2
82,We did not find any mold with the house.,2
83,The inspection found no mold.,2
84,No mold were observed during the inspection.,2
85,There were no signs of mold.,2
86,The inspection did not identify any mold.,2
87,We found no evidence of mold.,2
88,the house does not appear to have mold.,2
89,No major mold were reported.,2
90,The inspection revealed no mold.,2
91,There was no indication of mold.,2
92,The property showed no signs of mold.,2
93,Nothing suggested the presence of mold.,2
94,The report did not mention any mold.,2
95,No concerns related to mold were identified.,2
96,The inspector did not find mold.,2
97,The assessment found no evidence of mold.,2
98,No visible signs of mold were found.,2
99,There were not any noticeable mold.,2
100,the house has no visible mold growth.,2
101,There are no visible mold growth at the house.,2
102,We did not find any visible mold growth with the house.,2
103,The inspection found no visible mold growth.,2
104,No visible mold growth were observed during the inspection.,2
105,There were no signs of visible mold growth.,2
106,The inspection did not identify any visible mold growth.,2
107,We found no evidence of visible mold growth.,2
108,the house does not appear to have visible mold growth.,2
109,No major visible mold growth were reported.,2
110,The inspection revealed no visible mold growth.,2
111,There was no indication of visible mold growth.,2
112,The property showed no signs of visible mold growth.,2
113,Nothing suggested the presence of visible mold growth.,2
114,The report did not mention any visible mold growth.,2
115,No concerns related to visible mold growth were identified.,2
116,The inspector did not find visible mold growth.,2
117,The assessment found no evidence of visible mold growth.,2
118,No visible signs of visible mold growth were found.,2
119,There were not any noticeable visible mold growth.,2
120,the house has no water damage.,2
121,There are no water damage at the house.,2
122,We did not find any water damage with the house.,2
123,The inspection found no water damage.,2
124,No water damage were observed during the inspection.,2
125,There were no signs of water damage.,2
126,The inspection did not identify any water damage.,2
127,We found no evidence of water damage.,2
128,the house does not appear to have water damage.,2
129,No major water damage were reported.,2
130,The inspection revealed no water damage.,2
131,There was no indication of water damage.,2
132,The property showed no signs of water damage.,2
133,Nothing suggested the presence of water damage.,2
134,The report did not mention any water damage.,2
135,No concerns related to water damage were identified.,2
136,The inspector did not find water damage.,2
137,The assessment found no evidence of water damage.,2
138,No visible signs of water damage were found.,2
139,There were not any noticeable water damage.,2
140,the house has no active leaks.,2
141,There are no active leaks at the house.,2
142,We did not find any active leaks with the house.,2
143,The inspection found no active leaks.,2
